Nome: GLEBA CELESTE
Codigo Estacao: 83264
Latitude: -12.2886111
Longitude: -55.29416666
Altitude: 384
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-05-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;25;557.7;32.429032;25.083226;21.251613;84.604839;
2008-02-29;25;324.3;32.131034;24.958621;21.193103;84.577586;
2008-03-31;20;264.2;33.048387;25.496129;21.367742;82.725806;
2008-04-30;13;105.7;33.7;26.008;21.193333;79.4;
2008-05-31;2;3.1;33.5;24.912258;18.941935;72.508065;
2008-06-30;0;0;34.73;24.258;16.736667;64.158333;
2008-07-31;0;0;35.280645;24.241935;15.732258;54.120968;
2008-08-31;0;0;37.819355;26.516774;17.467742;46.830645;
2008-09-30;3;51.5;37.536667;27.448667;20.053333;55.875;
2008-10-31;11;224.3;35.935484;27.178065;21.687097;70.685484;
2008-11-30;19;304.1;33.74;26.186;22.1;81.866667;
2008-12-31;23;294.4;32.109677;25.385161;21.848387;84.193548;
2009-01-31;18;235.2;33.774194;26.178065;21.667742;80.370968;
2009-02-28;18;306.2;33.625;26.055;21.717857;80.571429;
2009-03-31;14;234.7;33.8;26.347742;21.990323;80.91129;
2009-04-30;15;67.2;33.2;25.869333;21.606667;79.883333;
2009-05-31;6;28.2;33.180645;25.36129;20.125806;76.975806;
2009-06-30;2;7;33.6;24.496;18.2;69.941667;
2009-07-31;null;null;null;null;null;null;
2009-08-31;4;35;36.235484;26.009677;18.335484;56.306452;
2009-09-30;9;76.3;36.14;27.311333;21.26;68.441667;
2009-10-31;13;98.1;35.203226;27.030323;21.932258;73.032258;
2009-11-30;16;308.4;34.506667;26.639333;22.07;78.533333;
2009-12-31;24;200.8;32.706452;25.71871;22.064516;82.516129;
2010-01-31;28;259.8;32.687097;25.668387;21.9;84.717742;
2010-02-28;15;296.8;34.835714;26.780714;22.371429;79.392857;
2010-03-31;16;282.4;34.367742;26.610323;22.574194;81.056452;
2010-04-30;6;27.9;34.986667;26.939333;21.226667;72.941667;
2010-05-31;3;14.1;35.116129;25.874194;19.470968;68.41129;
2010-06-30;1;3;35.786667;25.257333;17.623333;60.566667;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;0;36.751724;25.106207;16.534483;49.431034;
2010-09-30;1;.5;38.503333;27.616;19.976667;52.925;
2010-10-31;11;129.7;36.351613;27.612258;22.151613;69.677419;
2010-11-30;17;136.6;34.4;26.525333;21.92;77.366667;
2010-12-31;19;270.8;33.358065;25.915484;21.445161;80.701613;
2011-01-31;23;405.7;32.764516;25.459355;21.545161;83.677419;
2011-02-28;24;474.5;33.239286;25.597143;21.510714;82.214286;
2011-03-31;22;298.1;33.145161;25.723871;21.735484;83.725806;
2011-04-30;15;91.5;34.503333;26.444667;21.576667;78.083333;
2011-05-31;1;.2;34.141935;25.557419;19.670968;70.475806;
2011-06-30;3;29.9;34.323333;24.570667;17.69;65.475;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;0;38.055172;26.651034;18.013793;51.474138;
2011-09-30;4;109.6;38.533333;28.14;20.506667;51.541667;
2011-10-31;13;242.2;34.503226;26.298065;21.470968;77.169355;
2011-11-30;19;251.2;32.96;25.716;21.493333;82;
2011-12-31;21;252.4;32.635484;25.561935;21.803226;83.741935;
2012-01-31;28;426.1;31.125806;24.717419;21.470968;86.459677;
2012-02-29;19;262.8;33.331034;25.591034;20.87931;80.155172;
2012-03-31;17;134.9;33.7;25.896774;21.219355;79.903226;
2012-04-30;12;167.5;34.056667;26.487333;21.783333;79.166667;
2012-05-31;5;21.3;33.809677;25.479355;19.73871;75.185484;
2012-06-30;6;24.1;34.49;25.031333;18.576667;71.266667;
2012-07-31;null;null;null;null;null;null;
2012-08-31;0;0;36.606452;25.760645;17.377419;48.233871;
2012-09-30;4;82.1;38.46;27.491333;20.096667;57.691667;
2012-10-31;10;131.9;36.377419;27.777419;22.025806;69.564516;
2012-11-30;22;201.7;33.286667;26.074667;22.316667;83.283333;
2012-12-31;18;157.2;34.054839;26.373548;21.703226;79.612903;
2013-01-31;24;334;31.777419;25.692903;22.170968;86.620968;
2013-02-28;21;420.8;33.275;25.831429;21.564286;82.625;
2013-03-31;21;284.7;33.803226;26.389677;22.306452;81.943548;
2013-04-30;16;213.8;32.66;25.6;21.35;82.791667;
2013-05-31;1;58.6;34.725806;26.123871;20.374194;74.370968;
2013-06-30;null;1.5;34.96;25.827333;19.436667;70.191667;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;0;36.741935;25.519355;17.183871;52;
2013-09-30;null;21.2;36.926667;27.387333;20.65;62.683333;
2013-10-31;null;117.4;35.564516;27.029677;21.906452;73.725806;
2013-11-30;null;317.8;32.93;25.837333;21.686667;82.925;
2013-12-31;null;403.9;32.219355;25.530323;21.909677;84.241935;
2014-01-31;null;212.6;32.951613;25.362581;21.16129;83.096774;
2014-02-28;null;322.7;32.389286;25.322222;21.566667;82.964286;
2014-03-31;null;243.6;33.696774;26.041935;21.83871;81.443548;
2014-04-30;null;119.3;33.606667;26.082667;21.506667;81.266667;
2014-05-31;null;null;null;null;null;null;

