Nome: CAMPO BOM
Codigo Estacao: 83961
Latitude: -29.677684
Longitude: -51.049914
Altitude: 28.96
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;62.9;31.980645;24.195484;18.016129;77.524194;
2008-02-29;9;144.5;31.296552;23.555172;17.624138;77.939655;
2008-03-31;11;75.1;31.545161;23.394839;17.9;76.540323;
2008-04-30;13;117.5;26.833333;19;14.106667;80.908333;
2008-05-31;8;200.2;23.722581;15.803226;10.993548;83.443548;
2008-06-30;18;141.9;18.943333;12.581333;8.65;85.533333;
2008-07-31;14;98.8;22.5;16.031613;12.277419;85.201613;
2008-08-31;11;135.8;23.103226;15.252903;10.496774;82.016129;
2008-09-30;10;178.3;23.163333;15.863333;10.37;76.991667;
2008-10-31;19;214.1;25.809677;19.572903;14.93871;79.274194;
2008-11-30;10;37.2;29.813333;22.342667;16.49;71.658333;
2008-12-31;12;112.1;31.512903;23.405806;17.545161;72.443548;
2009-01-31;11;192.7;30.912903;23.69871;18.458065;76.741935;
2009-02-28;11;109.6;31.814286;24.45;19.539286;78.473214;
2009-03-31;11;86;30.551613;23.262581;18.954839;82.467742;
2009-04-30;8;25;28.893333;19.798667;14.26;80.483333;
2009-05-31;11;140.2;25.077419;16.916774;12.190323;83.185484;
2009-06-30;13;46.1;19.876667;12.770667;8.56;83.025;
2009-07-31;10;93.7;18.435484;11.214194;6.819355;83.653226;
2009-08-31;13;211.6;24.903226;15.932258;10.3;81.072581;
2009-09-30;18;368.1;22.746667;16.93;13.18;84.275;
2009-10-31;10;121.1;27.148387;18.81871;13.093548;78.467742;
2009-11-30;15;300.9;30.096667;23.904667;19.723333;82.616667;
2009-12-31;16;145.9;31.186667;24.112258;19.019355;77.927419;
2010-01-31;17;219.3;31.867742;25.05871;20.296774;81.475806;
2010-02-28;12;235.4;33.528571;25.818571;21.114286;79.142857;
2010-03-31;15;152.4;30.003226;23.191613;18.867742;83.016129;
2010-04-30;15;157.1;26.75;19.292667;14.82;85.575;
2010-05-31;20;135.9;22.109677;16.507097;12.977419;87.637097;
2010-06-30;15;131.4;21.413333;14.308;10.006667;85.683333;
2010-07-31;17;202;21.954839;13.992258;9.112903;82.83871;
2010-08-31;10;54.1;21.654839;14.232903;9.46129;81.419355;
2010-09-30;12;245.8;23.913333;17.234;12.8;80.708333;
2010-10-31;11;50.4;25.677419;17.896129;12.367742;76.758065;
2010-11-30;12;131.1;29.303333;20.752667;14.69;74.325;
2010-12-31;9;87.6;31.254839;23.315484;17.335484;73.887097;
2011-01-31;13;157.9;33.56129;25.642581;20.896774;79.943548;
2011-02-28;18;266.4;30.728571;24.264286;20.364286;84.8125;
2011-03-31;10;154.2;29.493548;22.017419;17.158065;81.301724;
2011-04-30;12;296.8;27.306667;19.600667;15.176667;84.416667;
2011-05-31;11;42.8;23.064516;15.874839;11.851613;86.564516;
2011-06-30;13;133;19.976667;13.276667;9.426667;84.783333;
2011-07-31;18;280.7;19.490323;13.047742;9.248387;86.056452;
2011-08-31;20;246.1;20.845161;14.335484;10.23871;82.467742;
2011-09-30;9;71;25.39;16.111333;10.326667;80.175;
2011-10-31;14;172.3;27.464516;19.770323;14.764516;76.209677;
2011-11-30;4;7.6;30.756667;21.772;15.416667;71.616667;
2011-12-31;14;72.5;31.403226;22.858065;17.029032;70.975806;
2012-01-31;10;257.6;32.632258;24.187097;18.751613;76.104839;
2012-02-29;10;190.9;34.87931;26.062759;21.02069;77.310345;
2012-03-31;7;105.8;31.796774;22.458065;17.367742;77.580645;
2012-04-30;9;85.6;26.593333;18.852;14.72;82.675;
2012-05-31;2;46.4;26.541935;17.180645;11.858065;83.2;
2012-06-30;11;37.3;21.916667;13.991333;9.36;83.225;
2012-07-31;11;199.1;20.064516;12.705161;7.848387;81.870968;
2012-08-31;13;88.9;27.641935;18.65871;13.396774;78.080645;
2012-09-30;13;248.6;25.353333;17.620667;12.386667;78.708333;
2012-10-31;12;192.9;28.225806;21.130968;16.306452;79.274194;
2012-11-30;6;22;32.57;22.826;15.823333;70.133333;
2012-12-31;11;266.5;33.209677;25.389677;19.558065;74.806452;
2013-01-31;9;110;32.129032;23.51871;17.241935;73.782258;
2013-02-28;null;138.5;32.071429;24.176429;18.935714;79.669643;
2013-03-31;null;149.5;27.958065;20.811613;16.274194;82.758065;
2013-04-30;null;96.1;27.973333;19.224;13.883333;80.85;
2013-05-31;null;71.3;23.370968;15.689032;10.86129;83.217742;
2013-06-30;null;97.2;20.53;14.156667;10.193333;87.958333;
2013-07-31;null;148.5;21.612903;12.730323;7.451613;83.064516;
2013-08-31;null;370.7;21.119355;13.087742;8.074194;84.322581;
2013-09-30;null;171.4;24.426667;16.798;11.73;82.775;
2013-10-31;null;155.1;27.058065;19.003226;13.306452;78.58871;
2013-11-30;null;218.5;30.783333;22.43;16.13;72.983333;

