Nome: SAO MATEUS
Codigo Estacao: 83550
Latitude: -18.71388888
Longitude: -39.8486111
Altitude: 25
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-23
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;145.5;30.935484;25.707097;21.664516;81.072581;
2008-02-29;13;156.5;32.248276;26.42;22.306897;81.327586;
2008-03-31;14;139.1;32.335484;26.569677;22.667742;82.104839;
2008-04-30;9;88;32.683333;26.634667;22.403333;82.216667;
2008-05-31;7;39.4;30.067742;23.525161;19.364516;82.419355;
2008-06-30;7;29.6;28.896667;22.686667;18.456667;80.85;
2008-07-31;7;26.5;27.870968;21.269677;16.574194;84.080645;
2008-08-31;14;50.2;29.5;22.98;18.132258;79.314516;
2008-09-30;4;11.6;28.943333;23.069333;18.883333;78.783333;
2008-10-31;9;67.3;30.370968;25.074839;20.854839;78.056452;
2008-11-30;21;526.8;29.086667;24.723333;21.763333;83.975;
2008-12-31;17;163.5;30.322581;25.381935;21.935484;83.467742;
2009-01-31;15;231.9;31.548387;26.529032;22.903226;82.306452;
2009-02-28;15;46;32.875;27.31;23.539286;78.196429;
2009-03-31;8;126.5;33.532258;null;23.209677;null;
2009-04-30;10;168.5;31.443333;25.67;22.146667;87;
2009-05-31;9;14.2;29.790323;23.682581;19.629032;82.879032;
2009-06-30;7;55.2;28.263333;22.47;18.733333;83.291667;
2009-07-31;11;34.2;29.3;22.8;18.745161;82.701613;
2009-08-31;15;51.7;28.764516;22.832903;18.83871;80.725806;
2009-09-30;8;33.8;31.196667;24.892667;20.486667;78.033333;
2009-10-31;13;281;30.535484;25.161935;21.519355;82.120968;
2009-11-30;5;127.5;31.316667;26.372;22.303333;76.733333;
2009-12-31;8;29;33.245161;27.26129;22.912903;75.548387;
2010-01-31;5;7.6;34.041935;27.870968;23.319355;72.040323;
2010-02-28;12;31.4;34.128571;27.970714;23.796429;74.776786;
2010-03-31;12;271.8;33.219355;27.485806;23.577419;81.008065;
2010-04-30;18;146.4;30.63;25.364667;21.8;81.816667;
2010-05-31;8;110.9;29.716129;24.163226;20.254839;null;
2010-06-30;5;39.6;27.676667;21.836667;17.833333;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;10;8.9;27.76129;21.437419;16.690323;null;
2010-09-30;12;29.8;29.196667;23.238667;18.616667;75.5;
2010-10-31;11;107.4;28.513333;23.886667;20.612903;null;
2010-11-30;12;174.3;29.406667;24.788;21.446667;84.016667;
2010-12-31;15;105;32.245161;26.42129;22.396774;79.459677;
2011-01-31;15;84.8;32.058065;26.559355;22.719355;79.080645;
2011-02-28;17;87.4;33.417857;27.005714;22.660714;76.955357;
2011-03-31;17;214;31.645161;26.383871;22.970968;83.08871;
2011-04-30;19;271.2;30.886667;25.595333;22.103333;84.283333;
2011-05-31;4;41.8;29.280645;23.245806;19.116129;77.951613;
2011-06-30;8;29.5;28.276667;22.193333;18.303333;80.375;
2011-07-31;6;120.7;27.967742;21.707097;17.309677;null;
2011-08-31;4;18.8;28.641935;22.38129;18.019355;79.217742;
2011-09-30;12;33.8;28.19;21.916667;17.366667;72.658333;
2011-10-31;22;213.3;28.2;23.711613;20.46129;82.016129;
2011-11-30;17;193.8;28.213333;23.644;20.233333;81.3;
2011-12-31;18;127.6;30.222581;25.420645;22.067742;81.895161;
2012-01-31;21;122.5;31.187097;25.994839;22.587097;80.782258;
2012-02-29;18;103;32.1;26.122759;21.965517;76.112069;
2012-03-31;7;36.8;32.36129;26.314839;21.922581;76.266129;
2012-04-30;12;48.5;31.973333;26.017333;21.993333;77.841667;
2012-05-31;10;55.5;28.596774;23.278065;19.741935;81.717742;
2012-06-30;8;36.4;29.88;23.613333;19.706667;null;
2012-07-31;12;114.9;28.064516;22.157419;17.974194;81.798387;
2012-08-31;24;252.7;26.987097;22.047742;18.529032;80.153226;
2012-09-30;11;42.1;28.17;22.894;19.066667;76.883333;
2012-10-31;15;51.7;29.925806;24.343871;19.780645;75.387097;
2012-11-30;21;265.6;29.07;24.748;21.256667;83.475;
2012-12-31;5;12.3;32.787097;26.942581;22.667742;75.822581;
2013-01-31;15;160.7;32.303226;26.587097;22.6;78.741935;
2013-02-28;10;8.9;33.507143;26.978571;22.428571;75.553571;
2013-03-31;3;28.5;33.896774;27.290323;22.851613;75.572581;
2013-04-30;null;55.8;30.22;24.861333;21.206667;79.508333;
2013-05-31;null;44.6;29.635484;23.71871;19.725806;null;
2013-06-30;null;8.6;29.693333;23.454;19.35;null;
2013-07-31;null;83.9;28.187097;22.335484;18.6;81.637097;
2013-08-31;null;73.1;27.858065;22.135484;17.612903;78.814516;
2013-09-30;null;48;28.643333;23.172;19.083333;78.083333;
2013-10-31;null;93.8;28.23871;23.489032;19.716129;77.959677;
2013-11-30;null;344;30.016667;24.994667;20.816667;78.966667;
2013-12-31;null;235;30.248387;25.813548;22.445161;84.064516;
2014-01-31;null;110.1;31.512903;26.424516;22.609677;78.435484;
2014-02-28;null;75.6;32.332143;26.58;22.225;75.946429;
2014-03-31;null;70.6;32.167742;26.528387;22.441935;77.475806;
2014-04-30;null;56.5;31.34;25.716;21.866667;77.166667;
2014-05-31;null;5.4;30.567742;24.303871;20.06129;null;
2014-06-30;null;124.9;28.643333;23.075333;19.353333;81.741667;
2014-07-31;null;114.3;27.070968;21.996774;18.603226;83.080645;
2014-08-31;null;144.6;27.654839;21.907097;17.867742;null;
2014-09-30;null;32.5;28.776667;23.220667;18.533333;75.2;
2014-10-31;null;255.7;28.264516;23.44;19.554839;77.266129;
2014-11-30;null;71;29.583333;24.942667;21.143333;77.866667;
2014-12-31;null;51;31.396774;25.872903;21.632258;76.895161;
2015-01-31;null;11.2;34.009677;27.068387;22.235484;72.943548;
2015-02-28;null;86.6;33.092857;27.075;22.789286;77.571429;
2015-03-31;null;177.2;32.393548;26.739355;22.580645;79.08871;
2015-04-30;null;80.9;30.77;25.450667;21.496667;78.333333;
2015-05-31;null;158.5;28.577419;23.651613;19.951613;81.201613;
2015-06-30;null;109.1;27.836667;22.920667;19.586667;83.566667;
2015-07-31;null;33.8;27.522581;22.250968;18.493548;84.387097;
2015-08-31;null;50.7;27.748387;22.40129;18.374194;78.419355;
2015-09-30;null;6.9;30.4;24.813333;20.266667;75.016667;
2015-10-31;null;29;30.003226;25.085161;20.732258;76.072581;
2015-11-30;null;20.9;32.55;26.995333;22.44;75.4;
2015-12-31;null;32.5;32.958065;27.459355;22.73871;73.443548;
2016-01-31;null;158.1;31.522581;26.643226;22.854839;80.5;
2016-02-29;null;8.1;33.413793;null;23.765517;null;
2016-03-31;null;49.8;33.654839;null;23.680645;null;
2016-04-30;null;21.9;33.01;null;22.556667;null;
2016-05-31;null;12.9;null;null;null;null;
2016-06-30;null;42.4;28.796667;null;19.263333;null;
2016-07-31;null;71.4;28.245161;null;18.780645;null;
2016-08-31;null;17.8;28.709677;null;18.96129;null;
2016-09-30;null;30.6;29.58;null;20.086667;null;
2016-10-31;null;59.3;30.377419;null;21.06129;null;
2016-11-30;null;217.6;29.86;null;21.676667;null;
2016-12-31;null;137.3;31.529032;null;22.690323;null;
2017-01-31;null;49;32.309677;null;22.709677;null;
2017-02-28;null;166.5;31.582143;null;22.828571;null;
2017-03-31;null;129.3;32.112903;null;22.541935;null;
2017-04-30;2;null;null;null;null;null;
2017-05-31;null;200.2;28.467742;null;20.032258;null;
2017-06-30;null;181.3;28.52;null;19.433333;null;
2017-07-31;null;108.4;26.374194;null;17.664516;null;
2017-08-31;null;35.4;27.096774;null;16.974194;null;
2017-09-30;null;89.1;27.29;null;18.363333;null;
2017-10-31;null;12.1;30.629032;null;20.558065;null;
2017-11-30;null;122.8;30.23;null;21.246667;null;
2017-12-31;null;329.4;31.067742;null;22.348387;null;
2018-01-31;null;45.1;33.219355;null;22.770968;null;
2018-02-28;null;205.2;31.246429;null;22.785714;null;
2018-03-31;null;90.2;32.677419;null;23.129032;null;
2018-04-30;null;181.2;30.506667;null;21.443333;null;
2018-05-31;null;189.4;29.354839;null;20.035484;null;
2018-06-30;null;48.3;29.133333;null;19.623333;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;115.8;28.893548;null;19.441935;null;
2018-09-30;null;30.2;29.813333;null;19.98;null;
2018-10-31;null;151.1;30.270968;null;21.4;null;
2018-11-30;null;238.9;30.463333;null;21.996667;null;
2018-12-31;null;230.3;31.125806;null;22.3;null;
2019-01-31;null;14.2;32.935484;null;22.764516;null;
2019-02-28;null;36.8;34.632143;null;23.971429;null;
2019-03-31;null;135.2;33.567742;null;23.654839;null;
2019-04-30;null;66.6;32.336667;null;23.01;null;
2019-05-31;null;155.1;30.719355;null;21.674194;null;
2019-06-30;null;119.7;29.233333;null;19.7;null;
2019-07-31;null;15.5;null;null;18.16;null;
2019-08-31;null;150.2;27.322222;null;18.455556;null;
2019-09-30;null;43.5;28.886667;null;19.55;null;
2019-10-31;null;197.1;29.625806;null;20.735484;null;
2019-11-30;null;297.7;30.9;null;21.553333;null;
2019-12-31;null;144.8;31.170968;null;22.351613;null;
2020-01-31;null;326.9;31.516129;null;22.925806;null;
2020-02-29;null;43.1;33.206897;null;23.365517;null;
2020-03-31;18;152.5;31.554839;null;22.493548;null;
2020-04-30;null;33.4;31.19;null;21.67;null;
2020-05-31;11;35.7;30.170968;null;null;null;
2020-06-30;14;61.7;29.116667;null;19.16;null;
2020-07-31;19;86.9;28.283871;null;18.190323;null;
2020-08-31;19;79.9;27.364516;null;18.36129;null;
2020-09-30;5;49.8;29.98;null;19.153333;null;
2020-10-31;15;174.2;29.977419;null;21.76129;null;
2020-11-30;null;null;29.133333;null;null;null;
2020-12-31;10;91.3;31.848387;null;22.487097;null;
2021-01-31;11;76;32.029032;null;22.187097;null;
2021-02-28;18;212.5;31.185714;null;22.832143;null;
2021-03-31;13;79.1;32.583871;null;22.219355;null;
2021-04-30;10;49.2;31.04;null;21.373333;null;
2021-05-31;12;36.8;30.677419;null;19.822581;null;
2021-06-30;9;28.5;28.624138;null;18.456667;null;
2021-07-31;5;3.7;28.482609;null;17.1375;null;

