Nome: TRES LAGOAS
Codigo Estacao: 83618
Latitude: -20.794867
Longitude: -51.713519
Altitude: 323.75
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2010-01-03
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;274.5;32.23871;null;null;null;
2008-02-29;18;243.9;32.744828;null;null;74.810345;
2008-03-31;11;223.7;31.377419;null;null;72.354839;
2008-04-30;12;132.2;31.303333;null;null;75.683333;
2008-05-31;7;35;26.857692;null;null;72.009615;
2008-06-30;2;8.8;28.273333;20.875455;15.513636;71.5;
2008-07-31;0;0;30.677419;22.254194;15.312903;53.112903;
2008-08-31;4;26.2;31.883871;23.794839;17.141935;55.951613;
2008-09-30;5;14.6;31.293333;23.357931;16.69;null;
2008-10-31;11;65.8;33.577419;26.965806;21.280645;60.5625;
2008-11-30;12;94.6;33.436667;26.872;21.3;65.241667;
2008-12-31;10;42.7;33.883871;27.645806;22.316129;61.830645;
2009-01-31;19;334.5;32.632258;26.247742;21.787097;null;
2009-02-28;14;115.4;32.714286;27.282143;22.942857;72.303571;
2009-03-31;11;191;34.382609;27.586957;22.496774;null;
2009-04-30;4;22.3;null;null;20.046667;null;
2009-05-31;5;57.9;null;null;17.842857;null;
2009-06-30;11;69.6;null;null;14.714286;null;
2009-07-31;5;50.7;null;null;15.666667;null;
2009-08-31;6;99.9;null;null;16.651613;null;
2009-09-30;12;143.4;null;null;19.61;null;
2009-10-31;12;98.8;null;null;20.625806;null;
2009-11-30;8;null;null;null;23.505882;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;2;null;null;null;null;null;

