Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08916666
Longitude: -46.36666666
Altitude: 830.35
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;183.6;29.841935;24.467742;20.5;69.217742;
2008-02-29;20;181.7;28.968966;23.774483;19.889655;77.112069;
2008-03-31;20;249.7;28.870968;23.500645;19.880645;78.112903;
2008-04-30;13;149.4;29.603333;24.13;20.16;74.366667;
2008-05-31;1;5.4;29.622581;23.502581;18.774194;56.258065;
2008-06-30;0;0;28.64;22.557333;17.826667;54.341667;
2008-07-31;0;0;28.309677;21.891613;16.583871;47.306452;
2008-08-31;0;0;30.532258;24.363871;19.048387;39.782258;
2008-09-30;5;24.9;32.773333;26.27;20.943333;44.941667;
2008-10-31;4;30;33.76129;27.543871;21.870968;40.741935;
2008-11-30;18;329.5;28.758621;24.028276;20.737931;75.344828;
2008-12-31;23;269.1;28.174194;23.353548;19.996774;80.91129;
2009-01-31;14;168.5;30.1;24.572258;20.393548;73.25;
2009-02-28;15;164.2;29.867857;24.514286;20.364286;73.892857;
2009-03-31;14;160.2;30.3;25.029677;20.86129;73.193548;
2009-04-30;20;242.5;28.213793;23.373333;20.1;80.2;
2009-05-31;5;88.5;27.683871;22.689677;18.709677;71.330645;
2009-06-30;1;2.1;28.66;22.838;18.383333;61.341667;
2009-07-31;0;0;30.025806;23.626452;18.535484;49.016129;
2009-08-31;2;17.4;30.474194;24.333548;19.119355;47.201613;
2009-09-30;7;39.2;32.62;26.508966;21.686667;51.725;
2009-10-31;16;253.3;30.651613;25.011613;20.780645;69.903226;
2009-11-30;18;218.2;30.073333;24.867333;20.5;70.225;
2009-12-31;20;325.2;29.190323;23.728387;19.774194;75.870968;
2010-01-31;17;133.8;30.270968;24.719355;20.148387;70.137097;
2010-02-28;13;86.7;31.310714;25.366429;20.828571;66.044643;
2010-03-31;22;217.1;30.141935;24.501935;20.745161;76.5;
2010-04-30;6;58.5;30.353333;24.623333;20.036667;61.65;
2010-05-31;7;68.4;30.796774;24.98;20.380645;60.169355;
2010-06-30;0;0;29.59;22.821333;17.536667;50.783333;
2010-07-31;0;0;28.654839;22.62129;17.619355;50.741935;
2010-08-31;0;0;29.870968;23.243871;17.622581;43.306452;
2010-09-30;1;26.8;32.466667;25.789333;20.06;40.241667;
2010-10-31;13;151;32.696774;26.523871;21.922581;61.653226;
2010-11-30;22;230.9;29.043333;23.688;20.05;78.866667;
2010-12-31;18;280.2;29.632258;24.349032;20.122581;76.967742;
2011-01-31;24;341.6;29.580645;23.968387;19.677419;76.403226;
2011-02-28;20;128.4;29.367857;23.970714;19.839286;77.107143;
2011-03-31;21;234.2;28.922581;23.676774;19.925806;81.08871;
2011-04-30;9;106.5;29.703333;24.047333;19.786667;69.008333;
2011-05-31;4;14.2;29.296774;23.452258;18.835484;60.459677;
2011-06-30;0;0;29.633333;23.352667;18.1;53.775;
2011-07-31;0;0;29.525806;23.016774;17.583871;46.056452;
2011-08-31;0;0;31.970968;25.298065;19.519355;41.064516;
2011-09-30;0;0;32.936667;26.103333;20.253333;34.55;
2011-10-31;19;192;29.916129;24.252903;20.019355;69.733871;
2011-11-30;19;184;27.91;22.96;19.15;76.866667;
2011-12-31;18;296.3;28.383871;23.571613;19.790323;77.451613;
2012-01-31;25;373.8;28.158065;22.778065;18.98;80.443548;
2012-02-29;13;106.1;30.22069;24.324138;19.944828;67.991379;
2012-03-31;14;70.7;31.335484;25.208387;20.425806;66.524194;
2012-04-30;5;39.9;32.2;25.89;20.996667;58.375;
2012-05-31;7;19.7;29.064516;23.445161;18.848387;63.548387;
2012-06-30;0;0;30.258621;24.311333;19.69;52.433333;
2012-07-31;0;0;29.683871;23.519355;18.487097;44.314516;
2012-08-31;0;0;29.129032;23.135484;17.629032;43.354839;
2012-09-30;1;6.4;33.11;26.802;21.016667;38.791667;
2012-10-31;9;13.6;33.516129;27.312903;21.66129;46.129032;
2012-11-30;25;379.8;28.863333;23.911333;20.243333;78.708333;
2012-12-31;12;150.4;32.390323;26.439355;21.570968;61.822581;
2013-01-31;26;301.2;27.974194;23.387097;20.3;83.048387;
2013-02-28;12;80;31.385714;25.792143;21.357143;65.75;
2013-03-31;3;299.7;30.274194;24.875484;20.787097;73.758065;
2013-04-30;null;211.5;29.146667;23.948667;19.943333;72.666667;
2013-05-31;null;12.1;30.016129;24.343226;19.583871;59.645161;
2013-06-30;null;11.6;29.506667;23.860667;19.556667;58.75;
2013-07-31;null;0;29.658065;23.816129;18.86129;50.66129;
2013-08-31;null;0;30.7;24.321935;18.967742;44.854839;
2013-09-30;null;10.5;32.4;26.136;20.853333;47.733333;
2013-10-31;null;54.2;31.954839;25.934839;21.129032;57.08871;
2013-11-30;null;156;30.206667;24.492;20.26;69.483333;
2013-12-31;null;324.7;28.490323;23.703226;20.070968;81.064516;
2014-01-31;null;151.9;30.229032;24.654839;19.929032;66.362903;
2014-02-28;null;121.1;29.810714;24.533571;20.614286;69.125;
2014-03-31;null;303.2;28.616129;23.638065;20.048387;79.33871;
2014-04-30;null;130.4;29.746667;24.365333;20.196667;72.791667;
2014-05-31;null;66.9;29.532258;24.086452;19.709677;63.177419;
2014-06-30;null;0;29.02;23.240667;18.516667;57.866667;
2014-07-31;null;0;29.096774;22.826452;17.770968;50.862903;
2014-08-31;null;0;30.854839;24.469677;19.241935;40.846774;
2014-09-30;null;1.1;33.533333;26.956;21.23;40.475;
2014-10-31;null;118.2;33.119355;26.625161;21.448387;48.491935;
2014-11-30;null;201.2;30.52069;24.829655;20.7;71.853448;
2014-12-31;null;204.5;29;23.857419;19.993548;75.572581;
2015-01-31;null;58.1;32.367742;26.503226;21.512903;58.564516;
2015-02-28;null;62.4;29.714286;24.385714;20.425;69.919643;
2015-03-31;null;168.8;29.016129;23.949677;20.219355;78.306452;
2015-04-30;null;252.9;29.113333;23.888;20.203333;79.508333;
2015-05-31;null;60.1;28.635484;23.357419;19.145161;67.814516;
2015-06-30;null;0;28.866667;23.160667;18.563333;55.716667;
2015-07-31;null;.4;29.554839;23.459355;18.377419;50.887097;
2015-08-31;null;0;30.851613;24.450968;18.619355;42.975806;
2015-09-30;null;.2;35.25;28.542759;22.696667;36.15;
2015-10-31;null;83.5;35.148387;28.398667;22.664516;45.951613;
2015-11-30;null;317.2;33.336667;27.04;21.866667;60.833333;
2015-12-31;null;91.9;32.603226;26.467742;21.209677;61.217742;
2016-01-31;null;249.3;28.377419;23.84;20.641935;81.209677;
2016-02-29;null;65;32.251724;26.469655;21.696552;61.87069;
2016-03-31;null;214.4;31.667742;25.707742;21.383871;66.241935;
2016-04-30;null;5.5;32.186667;26.292667;21.58;53.291667;
2016-05-31;null;0;31.974194;25.609677;20.587097;50.362903;
2016-06-30;null;4.8;29.923333;23.725;19.416667;51.3;
2016-07-31;null;0;30.509677;24.062581;18.964516;43.782258;
2016-08-31;null;8.3;32.425806;25.700645;20.158065;41.467742;
2016-09-30;null;19;33.476667;26.794667;21.5;42.675;
2016-10-31;null;42.9;33.193548;26.901935;21.754839;51.354839;
2016-11-30;null;110.8;31.336667;25.676667;21.2;63.225;
2016-12-31;null;159.2;31.174194;25.203226;20.751613;65.782258;
2017-01-31;null;114.4;31.76129;25.672667;21.190323;66.564516;
2017-02-28;null;181;29.185714;23.948571;20.325;77.964286;
2017-03-31;null;172.1;31.067742;25.385806;20.612903;67.145161;
