Nome: MOCAMBINHO
Codigo Estacao: 83389
Latitude: -15.086015
Longitude: -44.016223
Altitude: 453.62
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2012-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;5;41.8;32.896667;25.991333;20.609677;65.108333;
2008-02-29;11;105.6;33.032143;25.9784;21.203448;69.555556;
2008-03-31;11;158.3;31.819355;25.345806;20.764516;74.145161;
2008-04-30;9;67.3;32.446667;25.295;20.358621;74.116667;
2008-05-31;1;3.8;31.903226;23.488667;16.806452;60.290323;
2008-06-30;0;0;30.75;22.495172;15.28;55.508621;
2008-07-31;0;0;30.119355;20.987742;12.925806;50.016129;
2008-08-31;0;0;32.387097;23.044138;14.751613;45.625;
2008-09-30;2;13.6;34.68;25.384828;17.636667;45.925;
2008-10-31;null;0;null;null;null;null;
2008-11-30;19;192.2;30.384615;25.021667;21.457692;75.760417;
2008-12-31;13;162.3;30.58;24.881379;20.833333;77.241379;
2009-01-31;11;247.5;31.854839;25.512414;20.883871;75.483333;
2009-02-28;4;47.6;33.503571;26.517692;21.075;67.25;
2009-03-31;6;74.9;33.632258;26.469333;20.916129;67.15;
2009-04-30;14;251;30.576667;24.768148;20.75;77.305556;
2009-05-31;4;15.1;29.841935;22.824667;17.332258;70.841667;
2009-06-30;0;0;30.426667;22.645333;16.203333;63.116667;
2009-07-31;0;0;31.790323;22.576774;15.067742;54.903226;
2009-08-31;0;0;32.441935;23.971333;15.96;48.983333;
2009-09-30;1;10;35.766667;26.921379;19.583333;49.034483;
2009-10-31;10;252.6;33.619355;26.627143;21.519355;62.035714;
2009-11-30;5;44.7;33.733333;26.506;20.946667;65.916667;
2009-12-31;14;158.1;31.996774;25.575484;21.374194;74.104839;
2010-01-31;8;34.7;33.377419;26.374839;21.070968;68.620968;
2010-02-28;6;35.1;34.914286;26.937857;21.014286;62.508929;
2010-03-31;14;146.9;31.732258;25.494194;21.554839;77.967742;
2010-04-30;6;78.4;31.75;24.476;19.22;69.45;
2010-05-31;1;3.7;32.66129;24.812258;18.696774;63.790323;
2010-06-30;0;0;30.78;22.1;14.693333;54.691667;
2010-07-31;0;0;30.217241;22.320667;15.096552;52.141667;
2010-08-31;0;0;31.245161;21.867857;13.257143;48.732143;
2010-09-30;1;4.8;33.4;24.694;16.053333;42.35;
2010-10-31;6;62.3;35.826923;28.164;21.6;50.675;
2010-11-30;20;359.6;31.523333;25.331034;21.117241;74.758621;
2010-12-31;15;200.4;31.041935;25.328387;21.323333;78.572581;
2011-01-31;11;153;31.680645;25.198;20.535484;74.758065;
2011-02-28;6;68.7;33.407143;26.023571;20.435714;65.675926;
2011-03-31;12;326.5;30.426667;24.697333;21.073333;84.583333;
2011-04-30;null;null;null;null;null;null;
2011-05-31;1;6.5;29.972222;21.895556;15.838889;67.611111;
2011-06-30;null;0;31.053571;22.055556;15.675;61.964286;
2011-07-31;0;0;30.945161;21.340645;13.535484;56.209677;
2011-08-31;0;0;33.287097;23.445806;14.580645;49.346774;
2011-09-30;0;0;33.216667;23.548667;14.7;43.008333;
2011-10-31;10;92.3;31.856667;25.177692;20.067857;63.464286;
2011-11-30;15;171;29.556667;23.772667;19.636667;74.641667;
2011-12-31;12;146.5;30.206452;24.510345;20.134483;76.725;
2012-01-31;7;85.2;30.858065;24.824516;19.8;73.637097;
2012-02-29;7;29.9;32.625;25.431852;19.964286;65.071429;
2012-03-31;9;67.4;33.72;26.184138;20.441379;62.933333;
2012-04-30;1;6.3;34.55;26.08;19.27931;58.827586;
2012-05-31;4;23.1;31.496552;23.884444;17.92963;61.098214;
2012-06-30;1;3.8;31.913333;23.520667;16.546667;57.966667;
2012-07-31;null;0;31.380645;22.271111;14.848276;55.034483;

