Nome: CORONEL PACHECO
Codigo Estacao: 83037
Latitude: -21.546686
Longitude: -43.261045
Altitude: 411.03
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2009-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;388;28.864516;22.995484;19.093548;80.798387;
2008-02-29;21;282.5;30.213793;23.914483;19.496552;80.939655;
2008-03-31;17;475.5;29.829032;23.35871;18.870968;78.354839;
2008-04-30;12;135;29.103333;22.622667;18.35;82.433333;
2008-05-31;0;0;27.096774;19.082581;13.248387;76.653226;
2008-06-30;5;20.5;null;null;13.123333;82.116667;
2008-07-31;0;0;null;null;9.325806;72.645161;
2008-08-31;2;6;null;null;12.43871;69.16129;
2008-09-30;6;62.7;27.383333;19.194667;12.673333;70.991667;
2008-10-31;11;175.3;29.13871;22.600645;17.829032;76.758065;
2008-11-30;1;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;18;267.9;30.348387;24.484516;20.351613;79.75;
2009-02-28;12;149.3;31.667857;24.939286;20.45;78.375;
2009-03-31;16;167.1;31.196774;24.687742;20.519355;80.040323;
2009-04-30;11;37;28.936667;22.038667;17.616667;79.408333;

