Nome: IBIRITE
Codigo Estacao: 83632
Latitude: -20.01666666
Longitude: -44.08472221
Altitude: 822.08
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-11-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;291.9;28.616129;22.521935;18.277419;78.524194;
2008-02-29;13;237.8;30.031034;23.134483;18.496552;78.353448;
2008-03-31;16;298.1;29.251613;22.442857;17.892857;78.870968;
2008-04-30;9;140.8;29.243333;22.012;16.706667;79.275;
2008-05-31;0;0;26.706452;18.730323;12.8;77.395161;
2008-06-30;1;2.8;26.523333;18.460667;11.636667;72.166667;
2008-07-31;0;0;26.525806;16.581935;8.916129;69.096774;
2008-08-31;2;30.1;28.622581;20.325161;13.229032;63.959677;
2008-09-30;8;86.3;28.92;20.573333;13.54;63.233333;
2008-10-31;6;51.8;30.806452;23.201935;17.33871;66.975806;
2008-11-30;14;282.8;28.626667;22.872;18.1;71.841667;
2008-12-31;18;444.2;28.56129;22.696774;18.409677;76.532258;
2009-01-31;19;342;29.890323;23.479355;19.296774;76.33871;
2009-02-28;14;230;30.317857;23.698571;19.042857;75.973214;
2009-03-31;12;264;30.245161;23.545161;18.590323;75.798387;
2009-04-30;4;27.1;28.243333;21.27;16.09;76.75;
2009-05-31;1;9;27.03;19.206667;13.13;75.825;
2009-06-30;2;30.5;25.713333;17.668;11.793333;77.766667;
2009-07-31;2;2.8;27.570968;18.704;11.977419;72.325;
2009-08-31;2;28.6;27.890323;19.788387;13.532258;70.040323;
2009-09-30;2;74;30.02;22.673333;17.36;70.266667;
2009-10-31;12;276;29.33871;22.818065;18.064516;73.967742;
2009-11-30;12;117.4;30.93;24.24;19.193333;70.7;
2009-12-31;22;413.6;28.5;22.70129;18.86129;84.040323;
2010-01-31;13;118.5;31.874194;24.598065;18.990323;79.62037;
2010-02-28;9;87.9;31.728571;24.071429;18.785714;71.125;
2010-03-31;16;256.3;30.119355;23.390323;19.167742;77.112903;
2010-04-30;5;54.4;28.533333;21.215333;15.336667;73.708333;
2010-05-31;3;22;27.180645;18.669677;12.335484;75.709677;
2010-06-30;1;1;25.039286;16.447143;9.69;71.975;
2010-07-31;0;0;26.424138;18.6;11.116129;66.677419;
2010-08-31;0;0;27.751613;18.883226;10.793548;58.370968;
2010-09-30;5;38.4;29.086667;21.131333;15.15;60.491667;
2010-10-31;11;161.2;29.36129;21.772258;16.383871;69.032258;
2010-11-30;17;356.5;29.363333;22.453333;18.046667;76.175;
2010-12-31;17;335.1;31.090323;23.805161;18.93871;74.725806;
2011-01-31;15;457.7;30.867742;23.103226;17.958065;72.16129;
2011-02-28;7;43.2;33.007143;24.058571;18.621429;64.214286;
2011-03-31;17;365.8;29.167742;22.278065;17.767742;76.346774;
2011-04-30;6;47.2;30.203333;21.605333;15.776667;72.108333;
2011-05-31;1;1.1;27.225806;18.722581;12.358065;74.620968;
2011-06-30;2;14.6;26.593333;17.470667;10.763333;74.816667;
2011-07-31;0;0;26.519355;17.467742;10.393548;71.137097;
2011-08-31;0;0;29.93871;19.934839;12.270968;61.435484;
2011-09-30;2;2.1;30.596667;21.068667;13.923333;56.691667;
2011-10-31;16;189.5;29.267742;21.305161;15.180645;73.782258;
2011-11-30;14;434.9;29.46;20.816;13.123333;73.983333;
2011-12-31;22;685.1;29.396774;21.944516;15.403226;81.669355;
2012-01-31;19;474.3;29.912903;23.5475;18.170833;75;
2012-02-29;7;82.7;31.558621;23.868966;18.351724;71.663793;
2012-03-31;18;203.3;29.890323;22.763226;17.577419;76.572581;
2012-04-30;10;69.3;29.896667;22.369333;16.58;76.216667;
2012-05-31;7;76.9;26.432258;18.905806;13.387097;76.951613;
2012-06-30;6;29.8;26.813333;18.898667;14.156667;77.966667;
2012-07-31;0;0;26.96129;17.608387;11.041935;71.25;
2012-08-31;0;0;26.435484;17.909677;11.445161;68.427419;
2012-09-30;2;69.3;30.513333;21.85;14.503333;60.358333;
2012-10-31;8;68.6;31.1;23.656774;17.874194;63.008065;
2012-11-30;20;314.6;29.26;22.446667;17.613333;81.3;
2012-12-31;13;62.7;32.306452;24.947742;19.767742;73.112903;
2013-01-31;20;316.3;30.255;23.608;19.258065;79.620968;
2013-02-28;null;101.7;null;null;19.1;69.6875;
2013-03-31;null;189.1;null;null;19.63871;78.177419;
2013-04-30;null;132.8;null;null;15.036667;76.766667;
2013-05-31;null;71.4;null;null;12.774194;77;
2013-06-30;null;31;null;null;12.96;77.308333;
2013-07-31;null;0;null;null;12.603226;70.516129;
2013-08-31;null;0;null;null;13.812903;62.274194;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;116.2;null;null;16.664516;69.459677;
2013-11-30;null;70.9;null;null;18.393333;69.375;
2013-12-31;null;597.8;null;null;19.425806;79.572581;
2014-01-31;null;128.5;null;null;18.819355;63.717742;
2014-02-28;null;14;null;null;19.567857;59.553571;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;67.4;null;null;16.526667;77.025;
2014-05-31;null;8.6;null;null;12.764516;69.943548;
2014-06-30;null;2.2;null;null;12.263333;68.841667;
2014-07-31;null;45.4;null;null;11.109677;73.266129;
2014-08-31;null;1.6;null;null;10.290323;60.774194;
2014-09-30;null;5.6;null;null;18.633333;51.666667;
2014-10-31;null;96.2;null;null;17.874194;54.556452;
2014-11-30;null;254.7;null;null;18.336667;74.575;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;151.9;31.232143;null;19.292857;null;
2015-03-31;null;196.5;30.467742;null;18.929032;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;71.8;26.841935;null;14.309677;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;1;null;null;13.609677;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;83.4;null;null;19.63871;null;
2015-11-30;null;null;null;null;20.942857;null;
2015-12-31;null;117.4;null;null;19.306452;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;174.6;null;null;null;null;
2016-03-31;null;123.1;null;null;null;null;
2016-04-30;null;22.9;null;null;null;null;
2016-05-31;null;4.6;null;null;null;null;
2016-06-30;null;74.5;null;null;null;null;
2016-07-31;null;0;null;null;null;null;
2016-08-31;null;1.8;null;null;null;null;
2016-09-30;null;78.2;null;null;null;null;
2016-10-31;null;33.8;null;null;null;null;
2016-11-30;null;209.2;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;216.8;null;null;null;null;
2017-02-28;null;163.7;null;null;null;null;
2017-03-31;null;104.8;null;null;null;null;
2017-04-30;null;25.2;null;null;null;null;
2017-05-31;null;34.2;null;null;null;null;
2017-06-30;null;39.3;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;0;null;null;null;null;
2017-09-30;null;30;null;null;null;null;
2017-10-31;null;97;null;null;null;null;
